Tanggal,Bulan_File,Deskripsi,Debit,Kredit,Saldo_Berjalan_Terkoreksi,Kode_Akun_Lawan_Saran,Nama_Akun_Lawan_Saran,Confidence,Catatan
2026-03-04,Maret (sumber: web app bul-accounting),"Penggantian Toll Driver ASEP (SJ 4812, SJ 5073, SJ 4711)",,50000,-5050000,5160,Tol Parkir & Retribusi Jalan,Tinggi,Sumber: ledger Kas Kecil yang SUDAH ADA di bul-accounting.web.app (bukan dari Excel Oprasional) - mencakup transaksi normal + Lakalantas B 9592 KIU yang tergabung.
2026-03-04,Maret (sumber: web app bul-accounting),"Penggantian Toll Driver ASEP (SJ 4812, SJ 5073, SJ 4711)",,50000,-5100000,5160,Tol Parkir & Retribusi Jalan,Tinggi,Sumber: ledger Kas Kecil yang SUDAH ADA di bul-accounting.web.app (bukan dari Excel Oprasional) - mencakup transaksi normal + Lakalantas B 9592 KIU yang tergabung.
2026-03-04,Maret (sumber: web app bul-accounting),"Penggantian Toll Driver ASEP (SJ 4812, SJ 5073, SJ 4711)",,50000,-5150000,5160,Tol Parkir & Retribusi Jalan,Tinggi,Sumber: ledger Kas Kecil yang SUDAH ADA di bul-accounting.web.app (bukan dari Excel Oprasional) - mencakup transaksi normal + Lakalantas B 9592 KIU yang tergabung.
2026-03-04,Maret (sumber: web app bul-accounting),"Penggantian Toll Driver Arill SJ 4813, SJ 4925, SJ 5074)",,50000,-5200000,5160,Tol Parkir & Retribusi Jalan,Tinggi,Sumber: ledger Kas Kecil yang SUDAH ADA di bul-accounting.web.app (bukan dari Excel Oprasional) - mencakup transaksi normal + Lakalantas B 9592 KIU yang tergabung.
2026-03-04,Maret (sumber: web app bul-accounting),"Penggantian Toll Driver Arill SJ 4813, SJ 4925, SJ 5074)",,50000,-5250000,5160,Tol Parkir & Retribusi Jalan,Tinggi,Sumber: ledger Kas Kecil yang SUDAH ADA di bul-accounting.web.app (bukan dari Excel Oprasional) - mencakup transaksi normal + Lakalantas B 9592 KIU yang tergabung.
2026-03-04,Maret (sumber: web app bul-accounting),"Penggantian Toll Driver Arill SJ 4813, SJ 4925, SJ 5074)",,50000,-5300000,5160,Tol Parkir & Retribusi Jalan,Tinggi,Sumber: ledger Kas Kecil yang SUDAH ADA di bul-accounting.web.app (bukan dari Excel Oprasional) - mencakup transaksi normal + Lakalantas B 9592 KIU yang tergabung.
2026-03-04,Maret (sumber: web app bul-accounting),"Penggantian Toll Driver Sukma (SJ 5075, SJ 4703)",,48000,-5348000,5160,Tol Parkir & Retribusi Jalan,Tinggi,Sumber: ledger Kas Kecil yang SUDAH ADA di bul-accounting.web.app (bukan dari Excel Oprasional) - mencakup transaksi normal + Lakalantas B 9592 KIU yang tergabung.
2026-03-04,Maret (sumber: web app bul-accounting),"Penggantian Toll Driver Sukma (SJ 5075, SJ 4703)",,48000,-5396000,5160,Tol Parkir & Retribusi Jalan,Tinggi,Sumber: ledger Kas Kecil yang SUDAH ADA di bul-accounting.web.app (bukan dari Excel Oprasional) - mencakup transaksi normal + Lakalantas B 9592 KIU yang tergabung.
2026-03-04,Maret (sumber: web app bul-accounting),Toll PP ke Pulomas Ari,,22000,-5418000,5160,Tol Parkir & Retribusi Jalan,Tinggi,Sumber: ledger Kas Kecil yang SUDAH ADA di bul-accounting.web.app (bukan dari Excel Oprasional) - mencakup transaksi normal + Lakalantas B 9592 KIU yang tergabung.
2026-03-04,Maret (sumber: web app bul-accounting),Parkir di Pulo Mas JX Ari,,17000,-5435000,5160,Tol Parkir & Retribusi Jalan,Sedang,Sumber: ledger Kas Kecil yang SUDAH ADA di bul-accounting.web.app (bukan dari Excel Oprasional) - mencakup transaksi normal + Lakalantas B 9592 KIU yang tergabung.
2026-03-04,Maret,Stemplet atau Grease Mobil B 9592 KIU,,150000,-5585000,5240,Cuci Grease & Aksesoris Kecil,Tinggi,GAP DITEMUKAN saat verifikasi Jan-Feb-Maret vs Excel sumber (2026-08-21): baris ini ADA di 'LAPORAN UANG KAS OPRASIONAL dan ASET - MARET 2026.xlsx' tapi TIDAK PERNAH masuk ke ledger bul-accounting.web.app. Klasifikasi akun 5240 mengikuti pola baris sejenis ('Stempet kendaraan...') yg sudah ada di ledger ini pada tanggal lain.
2026-03-06,Maret (sumber: web app bul-accounting),Penambahan Uang Kas Masuk,5435000,,-150000,1112,Bank BCA Operasional,Tinggi,Sumber: ledger Kas Kecil yang SUDAH ADA di bul-accounting.web.app (bukan dari Excel Oprasional) - mencakup transaksi normal + Lakalantas B 9592 KIU yang tergabung.
2026-03-06,Maret,Pembelian Materai @12000 x 4 dan Print,,52500,-202500,6220,Biaya Transfer & Materai,Tinggi,"GAP DITEMUKAN saat verifikasi Jan-Feb-Maret vs Excel sumber (2026-08-21): baris ini ADA di 'LAPORAN UANG KAS OPRASIONAL dan ASET - MARET 2026.xlsx' tapi TIDAK PERNAH masuk ke ledger bul-accounting.web.app. Klasifikasi akun 6220 mengikuti pola baris materai+print gabungan sejenis (11 Maret, 16 April, dst) yg sudah ada di ledger ini."
2026-03-08,Maret,Toll Ari PP Ancol,,100000,-302500,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-03-08,Maret,"Penggantian uang Toll Reza ( SJ 05351, SJ 5292, 05420, 05689)",,200000,-502500,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-03-08,Maret,"Pembelian Sparepart untuk B 9593 KIU, B 9939 FYZ",,910000,-1412500,5220,Sparepart Armada,Tinggi,
2026-03-08,Maret,Bikin kuncian Bak B 9939 FYZ,,50000,-1462500,5210,Servis & Perbaikan Berkala,Sedang,
2026-03-08,Maret,Pembelian Ban Perut  B 9549 CYU - Aril,,130000,-1592500,5230,Ban & Vulkanisir,Tinggi,
2026-03-08,Maret,"Biaya Jasa Ganti oli B 9593 KIU, B 9939 FYZ dan Biaya Pengecekan Mobil B 9550 CYU, B 9549 CYU",,700000,-2292500,5210,Servis & Perbaikan Berkala,Tinggi,
2026-03-09,Maret,"Penggantian Tol Riko 3 SJ Clay (00958, 05368, 05438)",,160000,-2452500,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-03-10,Maret,Penambahan Uang Kas Masuk,5000000,,2547500,1112,Bank BCA Operasional,Tinggi,
2026-03-10,Maret,"Penggantian Tol Sukma 3 SJ Clay (00812, 00961, 05681)",,170000,2377500,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-03-10,Maret,"Penggantian Tol Arill 4 SJ Clay (00832, 00997, 00958, 05935)",,230000,2147500,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-03-10,Maret,"Penggantian Tol Reza 4 SJ (05420, 05292, 05940, 5689)",,200000,1947500,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-03-10,Maret,"Penggantian Tol Asep 7 SJ (05598, 05436, 05680, 05946, 00809, 00821, 00955 )",,430000,1517500,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-03-10,Maret,"Penggantian Tol Yatno 3 SJ Clay (00818, 00954, 00982)",,180000,1337500,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-03-10,Maret,Uang Jalan Siang Yatno ( SJ 05595 ),,50000,1287500,5150,Uang Jalan Makan & Penginapan Sopir,Tinggi,
2026-03-10,Maret,Uang Jalan Siang Reza ( SJ 05966 ),,50000,1237500,5150,Uang Jalan Makan & Penginapan Sopir,Tinggi,
2026-03-11,Maret,Bongkar Pasang Ban dan Las Knalpot B 9549 CYU - Arill,,150000,1087500,5210,Servis & Perbaikan Berkala,Sedang,
2026-03-11,Maret,Pembelian Materai @12000 x 4 dan print + Amplop A3,,62500,1025000,6220,Biaya Transfer & Materai,Sedang,Baris gabungan materai + ATK/print - dominan materai
2026-03-12,Maret,Toll Ari PP Ancol,,100000,925000,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-03-12,Maret,Uang Nginap ke Brik Alam Sutera Asep SJ 06217,,50000,875000,5150,Uang Jalan Makan & Penginapan Sopir,Tinggi,
2026-03-13,Maret,Uang Makan dan Nginap di Alex/Acon Bogor Gunung Sindur,,100000,775000,5150,Uang Jalan Makan & Penginapan Sopir,Tinggi,
2026-03-13,Maret,Uang Penggantian Balik Siang Reza (SJ 06085 ),,50000,725000,5150,"Uang Jalan, Makan & Penginapan Sopir",Tinggi (dikonfirmasi user),Deskripsi tidak cocok dengan pola akun manapun - PERLU VERIFIKASI manual | Dikonfirmasi user: perlakukan sama seperti uang makan karyawan.
2026-03-13,Maret,Uang Nginap ke Brik Balaraja Yatno SJ 06371,,50000,675000,5150,Uang Jalan Makan & Penginapan Sopir,Tinggi,
2026-03-13,Maret,Uang Nginap ke Brik Balaraja Asep SJ 06372,,50000,625000,5150,Uang Jalan Makan & Penginapan Sopir,Tinggi,
2026-03-13,Maret,Penggantian Tol Reza  (SJ 06085),,50000,575000,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-03-14,Maret,"Penggantian Tol Asep  (SJ 06308,)",,50000,525000,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-03-14,Maret,"Penggantian Tol Arill  (SJ 06520, 06122)",,100000,425000,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-03-14,Maret,"Penggantian Tol Yatno (SJ 05948, 6307)",,100000,325000,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-03-14,Maret,"Penggantian Jalan Siang Reza SJ 06525, 06473",,100000,225000,5150,"Uang Jalan, Makan & Penginapan Sopir",Tinggi (dikonfirmasi user),Deskripsi tidak cocok dengan pola akun manapun - PERLU VERIFIKASI manual | Dikonfirmasi user: perlakukan sama seperti uang makan karyawan.
2026-03-15,Maret,Pembelian BBM B 9140 SAL,,300000,-75000,5110,BBM Armada,Tinggi,
2026-03-15,Maret,Toll Ari PP Ancol,,100000,-175000,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-03-15,Maret,Uang THR Yatno,,150000,-325000,5150,Uang Jalan Makan & Penginapan Sopir,Sedang,"THR untuk sopir - dikelompokkan sbg tunjangan sopir, PERLU VERIFIKASI klasifikasi akun THR yang lebih tepat"
2026-03-15,Maret,Uang THR Sukma,,150000,-475000,5150,Uang Jalan Makan & Penginapan Sopir,Sedang,"THR untuk sopir - dikelompokkan sbg tunjangan sopir, PERLU VERIFIKASI klasifikasi akun THR yang lebih tepat"
2026-03-15,Maret,Uang THR Asep,,150000,-625000,5150,Uang Jalan Makan & Penginapan Sopir,Sedang,"THR untuk sopir - dikelompokkan sbg tunjangan sopir, PERLU VERIFIKASI klasifikasi akun THR yang lebih tepat"
2026-03-15,Maret,Uang THR Arill,,150000,-775000,5150,Uang Jalan Makan & Penginapan Sopir,Sedang,"THR untuk sopir - dikelompokkan sbg tunjangan sopir, PERLU VERIFIKASI klasifikasi akun THR yang lebih tepat"
2026-03-15,Maret,Uang THR Reza,,150000,-925000,5150,Uang Jalan Makan & Penginapan Sopir,Sedang,"THR untuk sopir - dikelompokkan sbg tunjangan sopir, PERLU VERIFIKASI klasifikasi akun THR yang lebih tepat"
2026-03-15,Maret,"Uang THR untuk Staff STR Tunas Maju ( Sony, Wesly, Jali )",,1000000,-1925000,6120,Tunjangan & Lembur Staf,Sedang,THR untuk staff kantor
2026-03-15,Maret,Uang THR Pak Kevin,,500000,-2425000,5150,Uang Jalan Makan & Penginapan Sopir,Sedang,"THR untuk sopir - dikelompokkan sbg tunjangan sopir, PERLU VERIFIKASI klasifikasi akun THR yang lebih tepat"
2026-03-15,Maret,Uang THR Ari,,500000,-2925000,5150,Uang Jalan Makan & Penginapan Sopir,Sedang,"THR untuk sopir - dikelompokkan sbg tunjangan sopir, PERLU VERIFIKASI klasifikasi akun THR yang lebih tepat"
2026-03-15,Maret,Uang Keamanan Ke Security Tunas Maju,,250000,-3175000,6320,Jamuan & Representasi,Sedang,Uang keamanan/security - dikelompokkan sbg representasi
2026-03-15,Maret,Uang Penggantian Balik Siang dari Legok Sukma (SJ 06330),,50000,-3225000,5150,"Uang Jalan, Makan & Penginapan Sopir",Tinggi (dikonfirmasi user),Deskripsi tidak cocok dengan pola akun manapun - PERLU VERIFIKASI manual | Dikonfirmasi user: perlakukan sama seperti uang makan karyawan.
2026-03-18,April,Penambahan Uang Kas Masuk,6000000,,2775000,1112,Bank BCA Operasional,Tinggi,Tanggal transaksi (2026-03-18) di luar bulan nominal file (April) - kemungkinan input terlambat/carry-over dari periode sebelumnya
2026-03-18,April,"Biaya Jasa Bongkar Pasang Unit B 9550 CYU, B 9549 CYU, B 9939 FYZ, stel Rem dll unit B 9592 KIU, B 9593 KIU",,2800000,-25000,5210,Servis & Perbaikan Berkala,Tinggi,Tanggal transaksi (2026-03-18) di luar bulan nominal file (April) - kemungkinan input terlambat/carry-over dari periode sebelumnya
2026-03-18,April,Bensin B 9140 SAL,,150000,-175000,5110,BBM Armada,Tinggi,Tanggal transaksi (2026-03-18) di luar bulan nominal file (April) - kemungkinan input terlambat/carry-over dari periode sebelumnya
2026-03-18,April,penggantian uang tol,,104000,-279000,5160,Tol Parkir & Retribusi Jalan,Tinggi,Tanggal transaksi (2026-03-18) di luar bulan nominal file (April) - kemungkinan input terlambat/carry-over dari periode sebelumnya
2026-03-28,April,"Penggantian uang Toll Yatno (Sj 06604, 330019)",,136000,-415000,5160,Tol Parkir & Retribusi Jalan,Tinggi,Tanggal transaksi (2026-03-28) di luar bulan nominal file (April) - kemungkinan input terlambat/carry-over dari periode sebelumnya
2026-03-29,April,penggantian uang tol,,92000,-507000,5160,Tol Parkir & Retribusi Jalan,Tinggi,Tanggal transaksi (2026-03-29) di luar bulan nominal file (April) - kemungkinan input terlambat/carry-over dari periode sebelumnya
2026-03-31,April,Pembelian BBM B 9140 SAL,,305000,-812000,5110,BBM Armada,Tinggi,Tanggal transaksi (2026-03-31) di luar bulan nominal file (April) - kemungkinan input terlambat/carry-over dari periode sebelumnya
2026-03-31,April,Toll Ari PP Ancol,,100000,-912000,5160,Tol Parkir & Retribusi Jalan,Tinggi,Tanggal transaksi (2026-03-31) di luar bulan nominal file (April) - kemungkinan input terlambat/carry-over dari periode sebelumnya
2026-03-31,April,Penggantian uang Toll Aril (Sj 06596),,50000,-962000,5160,Tol Parkir & Retribusi Jalan,Tinggi,Tanggal transaksi (2026-03-31) di luar bulan nominal file (April) - kemungkinan input terlambat/carry-over dari periode sebelumnya
2026-04-02,April,Penambahan Uang Kas Masuk,5000000,,4038000,1112,Bank BCA Operasional,Tinggi,
2026-04-02,April,Penggantian Ban Dalam dan ongkos bongkar pasang B 9939 FYZ - Asep,,150000,3888000,5210,Servis & Perbaikan Berkala,Sedang,
2026-04-02,April,Penggantian uang Toll Yatno (Sj 6734),,57000,3831000,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-02,April,"Penggantian uang Toll Arill ( Sj 6741, 6820)",,114000,3717000,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-02,April,Penggantian Uang Jalan Siang dari Barat Supir Sukma - b 9593 kiu (Balaraja),,50000,3667000,5150,Uang Jalan Makan & Penginapan Sopir,Tinggi,
2026-04-02,April,Biaya Jasa Bongkar pasang Seal Roda Kanan dan lain-lain unit B 9939 FYZ - Asep,,300000,3367000,5210,Servis & Perbaikan Berkala,Tinggi,
2026-04-02,April,Biaya Makan dan Minum Mekanik saat Bongkar Pasang / Stooring B 9939 FYZ,,50000,3317000,5210,Servis & Perbaikan Berkala,Sedang,Konsumsi terkait pekerjaan servis
2026-04-03,April,Pembayaran uang Sewa kontrakan 1 bulan April,,1100000,2217000,6120,Tunjangan & Lembur Staf,"Sedang (dikonfirmasi user, klasifikasi akun oleh Claude)","Sewa kontrakan/rumah - tidak ada akun sewa properti spesifik di CoA yang diberikan | Dikonfirmasi user: sewa mess untuk pengurus (Arie) - tidak ada akun 'sewa mess karyawan' spesifik di CoA, dipetakan ke Tunjangan & Lembur Staf."
2026-04-05,April,"Penggantian uang Toll Clay 5 SJ ( 1185, 1906, 1938, 1994, 2065)  - b 9549 cyu",,325000,1892000,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-05,April,"Penggantian uang Toll Clay 6 SJ ( 1912, 1935, 1964, 2057, 2067, 2096) - b 9592 kiu",,390000,1502000,5160,Tol Parkir & Retribusi Jalan,Tinggi,
2026-04-05,April,"Penggantian uang Toll Clay 3 SJ ( 1902, 1981, 2068 )  - b 9939 fyz",,195000,1307000,5160,Tol Parkir & Retribusi Jalan,Tinggi,
